well,depth,zone,sub_zone
2,2161.200000,B,1
2,2161.400000,B,1
2,2161.600000,B,1
2,2161.800000,B,1
2,2162.000000,B,1
2,2162.200000,B,1
2,2162.400000,B,1
2,2162.600000,B,1
2,2162.800000,B,1
2,2163.000000,B,1
2,2163.200000,B,1
2,2163.400000,B,1
2,2163.600000,B,1
2,2163.800000,B,1
2,2164.000000,B,1
2,2164.200000,B,1
2,2164.400000,B,1
2,2164.600000,B,1
2,2164.800000,B,2
2,2165.000000,B,2
2,2165.200000,B,2
2,2165.400000,B,2
2,2165.600000,B,2
2,2165.800000,B,2
2,2166.000000,B,2
2,2166.200000,B,2
2,2166.400000,B,2
2,2166.600000,B,2
2,2166.800000,B,2
2,2167.000000,B,2
2,2167.200000,B,1
2,2167.400000,B,1
2,2167.600000,B,1
2,2167.800000,B,1
2,2168.000000,B,1
2,2168.200000,B,1
2,2168.400000,B,1
2,2168.600000,B,1
2,2168.800000,B,1
2,2169.000000,B,1
2,2169.200000,B,1
2,2169.400000,B,1
2,2169.600000,B,1
2,2169.800000,B,1
